Base,Tail Number,Min Quantity,Max Quantity,Total
HWD,"",501.0,1200.0,5.69384
HWD,"",1201.0,999999.0,5.6758
HXD,"",1.0,300.0,8.99176
HXD,"",301.0,1200.0,8.86635
HXD,"",1201.0,999999.0,8.74629
IAD,"",1.0,500.0,6.89224
IAD,"",501.0,1200.0,6.84818
IAD,"",1201.0,999999.0,6.78559
IAH,"",1.0,500.0,5.17398
IAH,"",501.0,1200.0,5.15692
IAH,"",1201.0,999999.0,5.09818
ICT,"",1.0,300.0,4.59981
ICT,"",301.0,1200.0,4.47618
ICT,"",1201.0,999999.0,4.42243
IND,"",1.0,300.0,6.19659
IND,"",301.0,1200.0,6.14659
IND,"",1201.0,999999.0,6.09659
INT,"",1.0,300.0,7.60139
INT,"",301.0,1200.0,7.45908
INT,"",1201.0,999999.0,6.99898
ISM,"",1.0,300.0,5.75579
ISM,"",301.0,1200.0,5.65379
ISM,"",1201.0,999999.0,5.41579
ITO,"",1.0,1999.0,5.03245
ITO,"",2000.0,2999.0,4.98313
ITO,"",3000.0,3999.0,4.93382
ITO,"",4000.0,4999.0,4.8845
ITO,"",5000.0,999999.0,4.8845
IXD,"",1.0,300.0,5.20049
IXD,"",301.0,1200.0,5.13024
IXD,"",1201.0,999999.0,5.07859
JAX,"",1.0,300.0,5.86449
JAX,"",301.0,1200.0,5.82486
JAX,"",1201.0,999999.0,5.78523
KOA,"",1.0,1999.0,5.01695
KOA,"",2000.0,2999.0,4.77318
KOA,"",3000.0,3999.0,4.7295
KOA,"",4000.0,4999.0,4.68581
KOA,"",5000.0,999999.0,4.68581
LAS,"",1.0,500.0,6.75124
LAS,"",501.0,1200.0,6.68189
LAS,"",1201.0,999999.0,6.5869
LAX,"",1.0,500.0,6.75914
LAX,"",501.0,1200.0,6.58605
LAX,"",1201.0,999999.0,6.39655
LEX,"",1.0,300.0,7.0175
LEX,"",301.0,1200.0,6.9645
LEX,"",1201.0,999999.0,6.5935
LFT,"",1.0,300.0,7.28431
LFT,"",301.0,1200.0,6.81706
LFT,"",1201.0,999999.0,6.76456
LGB,"",1.0,300.0,6.17199
LGB,"",301.0,1200.0,6.15973
LGB,"",1201.0,999999.0,6.11831
LIH,"",1.0,1999.0,4.60369
LIH,"",2000.0,2999.0,4.58829
LIH,"",3000.0,3999.0,4.57289
LIH,"",4000.0,4999.0,4.55748
LIH,"",5000.0,999999.0,4.55748
LIT,"",1.0,300.0,6.13845
LIT,"",301.0,1200.0,5.98899
LIT,"",1201.0,999999.0,5.83952
LRD,"",1.0,300.0,5.88416
LRD,"",301.0,1200.0,5.84114
LRD,"",1201.0,999999.0,5.79813
LUK,"",1.0,300.0,6.06913
LUK,"",301.0,1200.0,5.90527
LUK,"",1201.0,999999.0,5.33501
MAF,"",1.0,300.0,7.20819
MAF,"",301.0,1200.0,7.12793
MAF,"",1201.0,999999.0,6.72372
MCI,"",1.0,300.0,6.86287
MCI,"",301.0,1200.0,6.71256
MCI,"",1201.0,999999.0,6.56225
MCO,"",1.0,500.0,5.44775
MCO,"",501.0,1200.0,5.43448
MCO,"",1201.0,999999.0,5.42122
MDW,"",1.0,500.0,6.41138
MDW,"",501.0,1200.0,6.29412
MDW,"",1201.0,999999.0,6.2497
MEM,"",1.0,300.0,6.03344
MEM,"",301.0,1200.0,5.98088
MEM,"",1201.0,999999.0,5.91175
MHT,"",1.0,300.0,7.34649
MHT,"",301.0,1200.0,7.25244
MHT,"",1201.0,999999.0,7.15354
MIA,"",1.0,500.0,8.72163
MIA,"",501.0,1200.0,8.47353
MIA,"",1201.0,999999.0,8.19735
MKC,"",1.0,300.0,5.41112
MKC,"",301.0,1200.0,5.15508
MKC,"",1201.0,999999.0,4.38222
MKE,"",1.0,300.0,5.20339
MKE,"",301.0,1200.0,4.89339
MKE,"",1201.0,999999.0,4.77339
MMU,"",1.0,500.0,6.2018
MMU,"",501.0,1200.0,5.99142
MMU,"",1201.0,999999.0,5.69214
MOB,"",1.0,300.0,8.00139
MOB,"",301.0,1200.0,7.669
MOB,"",1201.0,999999.0,7.62026
MQS,"",1.0,300.0,7.85449
MQS,"",301.0,1200.0,7.6646
MQS,"",1201.0,999999.0,6.01306
MSP,"",1.0,500.0,9.40689
MSP,"",501.0,1200.0,9.14189
MSP,"",1201.0,999999.0,9.01489
MSY,"",1.0,300.0,6.15971
MSY,"",301.0,1200.0,5.99141
MSY,"",1201.0,999999.0,5.81318
NEW,"",1.0,300.0,6.20905
NEW,"",301.0,1200.0,5.9654
NEW,"",1201.0,999999.0,5.67976
OAK,"",1.0,300.0,6.51951
OAK,"",301.0,1200.0,6.15182
OAK,"",1201.0,999999.0,6.09644
OGG,"",1.0,1999.0,4.93506
OGG,"",2000.0,2999.0,4.77992
OGG,"",3000.0,3999.0,4.73776
OGG,"",4000.0,4999.0,4.69559
OGG,"",5000.0,999999.0,4.69559
OMA,"",1.0,300.0,4.9859
OMA,"",301.0,1200.0,4.94191
OMA,"",1201.0,999999.0,4.89791
OPF,"",1.0,500.0,4.86652
OPF,"",501.0,1200.0,4.85579
OPF,"",1201.0,999999.0,4.84853
ORD,"",1.0,300.0,9.11043
ORD,"",301.0,1200.0,9.03557
ORD,"",1201.0,999999.0,8.5918
ORF,"",1.0,300.0,7.36439
ORF,"",301.0,1200.0,7.27839
ORF,"",1201.0,999999.0,6.39439
PBI,"",1.0,500.0,5.4657
PBI,"",501.0,1200.0,5.43854
PBI,"",1201.0,999999.0,5.39366
PBI4,"",1.0,500.0,5.4657
PBI4,"",501.0,1200.0,5.43854
PBI4,"",1201.0,999999.0,5.39366
PDK,"",1.0,300.0,5.86181
PDK,"",301.0,1200.0,5.78692
PDK,"",1201.0,999999.0,5.73841
PHK,"",1.0,300.0,7.64449
PHK,"",301.0,1200.0,7.59449
PHK,"",1201.0,999999.0,7.54449
PIE,"",1.0,300.0,5.79719
PIE,"",301.0,1200.0,5.75129
PIE,"",1201.0,999999.0,5.70539
PSP,"",1.0,500.0,6.58399
PSP,"",501.0,1200.0,6.56788
PSP,"",1201.0,999999.0,6.49349
PVU,"",1.0,300.0,6.14408
PVU,"",301.0,1200.0,6.03734
PVU,"",1201.0,999999.0,5.96618
PWK,"",1.0,300.0,6.14573
PWK,"",301.0,1200.0,6.10043
PWK,"",1201.0,999999.0,6.05247
RDU,"",1.0,300.0,6.17576
RDU,"",301.0,1200.0,5.9711
RDU,"",1201.0,999999.0,5.68701
ROA,"",1.0,300.0,7.41693
ROA,"",301.0,1200.0,7.36693
ROA,"",1201.0,999999.0,7.10993
RST,"",1.0,300.0,7.59139
RST,"",301.0,1200.0,7.54139
RST,"",1201.0,999999.0,7.47039
SAF,"",1.0,300.0,5.4906
SAF,"",301.0,1200.0,5.30385
SAF,"",1201.0,999999.0,5.22832
SAN,"",1.0,500.0,10.96488
SAN,"",501.0,1200.0,10.87131
SAN,"",1201.0,999999.0,10.63218
