AIRPORT CODE,FBO,CITY,STATE,PHONE NUMBER,AVGAS QUANTITY,AVGAS PRICE PER UNIT,JET A WITH ADD QUANTITY,JET A WITH ADD PRICE PER UNIT,JET A QUANTITY,JET A PRICE PER UNIT,CN JET A QUANTITY,CN JET A PRICE PER UNIT,CN JET A WITH ADD QUANTITY,CN JET A WITH ADD PRICE PER UNIT,SAF QUANTITY,SAF PRICE PER UNIT,SAF WITH ADD QUANTITY,SAF WITH ADD PRICE PER UNIT,ICAO
6I2,Lebanon-Springfield Airport,Springfield,KY,859-336-3818,,,1+,$3.30 ,1+,$3.30 ,1+,$0.00 ,,,1+,$0.00 ,,,K6I2
82J,Roscoe Field Airport,Pensacola,FL,850-453-4181,,,1+,$4.88 ,1+,$4.88 ,1+,$0.00 ,,,1+,$0.00 ,,,82J
8A1,City of Guntersville,Guntersville,AL,256-582-6087,,,All Quantities,$4.71 ,All Quantities,$4.71 ,All Quantities,$0.00 ,,,All Quantities,$0.00 ,,,8A1
ABQ,Atlantic ABQ,Albuquerque,NM,945-348-3090,,, 0 - 300,$6.85 , 0 - 300,$6.69 ,,,,,,,,,KABQ
ABQ,Atlantic ABQ,Albuquerque,NM,945-348-3090,,, 301 - 600,$6.68 , 301 - 600,$6.53 ,,,,,,,,,KABQ
ABQ,Atlantic ABQ,Albuquerque,NM,945-348-3090,,, 601 - 900,$6.49 , 601 - 900,$6.34 ,,,,,,,,,KABQ
ABQ,Atlantic ABQ,Albuquerque,NM,945-348-3090,,, 901 - 1200,$6.32 , 901 - 1200,$6.16 ,,,,,,,,,KABQ
ABQ,Atlantic ABQ,Albuquerque,NM,945-348-3090,,,1201+,$6.13 ,1201+,$5.97 ,,,,,,,,,KABQ
ABQ,Cutter Aviation ABQ,Albuquerque,NM,505-842-4184,,, 1 - 300,$5.02 , 1 - 300,$5.02 ,,,,,,,,,KABQ
ABQ,Cutter Aviation ABQ,Albuquerque,NM,505-842-4184,,, 301 - 500,$4.89 , 301 - 500,$4.89 ,,,,,,,,,KABQ
ABQ,Cutter Aviation ABQ,Albuquerque,NM,505-842-4184,,, 501 - 999,$4.81 , 501 - 999,$4.81 ,,,,,,,,,KABQ
ABQ,Cutter Aviation ABQ,Albuquerque,NM,505-842-4184,,,1000+,$4.74 ,1000+,$4.74 ,,,,,,,,,KABQ
ADF,Arkadelphia Municipal,Arkadelphia,AR,870-246-8945,,, 1 - 200,$4.64 , 1 - 200,$4.64 ,,,,,,,,,KADF
ADF,Arkadelphia Municipal,Arkadelphia,AR,870-246-8945,,, 201 - 500,$4.46 , 201 - 500,$4.46 ,,,,,,,,,KADF
ADF,Arkadelphia Municipal,Arkadelphia,AR,870-246-8945,,,501+,$4.31 ,501+,$4.31 ,,,,,,,,,KADF
ADS,Atlantic ADS,Addison,TX,945-348-3090,,, 0 - 200,$6.21 , 0 - 200,$6.01 ,,,,,,,,,KADS
ADS,Atlantic ADS,Addison,TX,945-348-3090,,, 201 - 400,$5.93 , 201 - 400,$5.73 ,,,,,,,,,KADS
ADS,Atlantic ADS,Addison,TX,945-348-3090,,, 401 - 600,$5.64 , 401 - 600,$5.44 ,,,,,,,,,KADS
ADS,Atlantic ADS,Addison,TX,945-348-3090,,, 601 - 800,$5.35 , 601 - 800,$5.15 ,,,,,,,,,KADS
ADS,Atlantic ADS,Addison,TX,945-348-3090,,, 801 - 1000,$5.05 , 801 - 1000,$4.85 ,,,,,,,,,KADS
ADS,Atlantic ADS,Addison,TX,945-348-3090,,,1001+,$4.76 ,1001+,$4.56 ,,,,,,,,,KADS
AFK,Blue Line Aviation,Nebraska City,NE,402-209-1012,,,1+,$3.39 ,1+,$3.39 ,,,,,,,,,KAFK
AGC,Atlantic AGC,West Mifflin,PA,972-905-2513,,, 0 - 200,$6.52 , 0 - 200,$6.37 ,,,,,,,,,KAGC
AGC,Atlantic AGC,West Mifflin,PA,972-905-2513,,, 201 - 400,$6.36 , 201 - 400,$6.21 ,,,,,,,,,KAGC
AGC,Atlantic AGC,West Mifflin,PA,972-905-2513,,, 401 - 600,$6.20 , 401 - 600,$6.05 ,,,,,,,,,KAGC
AGC,Atlantic AGC,West Mifflin,PA,972-905-2513,,, 601 - 800,$6.04 , 601 - 800,$5.89 ,,,,,,,,,KAGC
AGC,Atlantic AGC,West Mifflin,PA,972-905-2513,,, 801 - 1000,$5.88 , 801 - 1000,$5.73 ,,,,,,,,,KAGC
AGC,Atlantic AGC,West Mifflin,PA,972-905-2513,,,1001+,$5.72 ,1001+,$5.57 ,,,,,,,,,KAGC
AGC,Vantage AGC LLC,West Mifflin,PA,949-701-0759,,,1+,$5.58 ,1+,$5.51 ,,,,,,,,,KAGC
AHN,Athens-Clarke County Airport,Athens,GA,706-613-3420,,, 1 - 500,$5.89 , 1 - 500,$5.89 ,,,,,,,,,KAHN
AHN,Athens-Clarke County Airport,Athens,GA,706-613-3420,,, 501 - 999,$5.86 , 501 - 999,$5.86 ,,,,,,,,,KAHN
AHN,Athens-Clarke County Airport,Athens,GA,706-613-3420,,,1000+,$5.81 ,1000+,$5.81 ,,,,,,,,,KAHN
AIK,Aiken Aviation,Aiken,SC,803-648-7803,,, 1 - 500,$5.22 , 1 - 500,$5.22 ,All Quantities,$0.15 ,,,All Quantities,$0.15 ,,,KAIK
AIK,Aiken Aviation,Aiken,SC,803-648-7803,,, 501 - 999,$5.17 , 501 - 999,$5.17 ,,,,,,,,,KAIK
AIK,Aiken Aviation,Aiken,SC,803-648-7803,,,1000+,$5.12 ,1000+,$5.12 ,,,,,,,,,KAIK
ANB,Anniston Aviation,Anniston,AL,256-239-3870,,, 1 - 999,$4.40 , 1 - 999,$4.34 ,1+,$0.00 ,,,1+,$0.00 ,,,KANB
ANB,Anniston Aviation,Anniston,AL,256-239-3870,,,1000+,$4.31 ,1000+,$4.25 ,,,,,,,,,KANB
ANC,Atlantic ANC,Anchorage,AK,954-348-3090,,, 0 - 300,$7.60 , 0 - 300,$7.45 ,,,,,,,,,PANC
ANC,Atlantic ANC,Anchorage,AK,954-348-3090,,, 301 - 600,$7.19 , 301 - 600,$7.04 ,,,,,,,,,PANC
ANC,Atlantic ANC,Anchorage,AK,954-348-3090,,, 601 - 900,$6.78 , 601 - 900,$6.63 ,,,,,,,,,PANC
ANC,Atlantic ANC,Anchorage,AK,954-348-3090,,, 901 - 1200,$6.36 , 901 - 1200,$6.21 ,,,,,,,,,PANC
ANC,Atlantic ANC,Anchorage,AK,954-348-3090,,, 1201 - 1500,$5.94 , 1201 - 1500,$5.79 ,,,,,,,,,PANC
ANC,Atlantic ANC,Anchorage,AK,954-348-3090,,, 1501 - 2500,$5.53 , 1501 - 2500,$5.38 ,,,,,,,,,PANC
ANC,Atlantic ANC,Anchorage,AK,954-348-3090,,, 2501 - 5000,$5.26 , 2501 - 5000,$5.11 ,,,,,,,,,PANC
ANC,Atlantic ANC,Anchorage,AK,954-348-3090,,, 5001 - 7500,$5.00 , 5001 - 7500,$4.85 ,,,,,,,,,PANC
ANC,Atlantic ANC,Anchorage,AK,954-348-3090,,,7501+,$4.73 ,7501+,$4.58 ,,,,,,,,,PANC
ANC,Titan IAS Fuel Only N1 Ramp,New Bern,NC,252-633-0066,,, 0 - 999,$3.74 , 0 - 999,$3.69 ,,,,,,,,,PANC
ANC,Titan IAS Fuel Only N1 Ramp,New Bern,NC,252-633-0066,,, 1000 - 1999,$3.70 , 1000 - 1999,$3.65 ,,,,,,,,,PANC
ANC,Titan IAS Fuel Only N1 Ramp,New Bern,NC,252-633-0066,,,2000+,$3.65 ,2000+,$3.60 ,,,,,,,,,PANC
ANC,Titan IAS Intl Fuel Only N1Ramp,New Bern,NC,252-633-0066,,, 0 - 999,$3.53 , 0 - 999,$3.48 ,,,,,,,,,PANC
ANC,Titan IAS Intl Fuel Only N1Ramp,New Bern,NC,252-633-0066,,, 1000 - 1999,$3.48 , 1000 - 1999,$3.43 ,,,,,,,,,PANC
ANC,Titan IAS Intl Fuel Only N1Ramp,New Bern,NC,252-633-0066,,,2000+,$3.43 ,2000+,$3.38 ,,,,,,,,,PANC
AND,Anderson County FBO,Anderson,SC,864-260-4163,,,1+,$6.13 ,1+,$6.13 ,1+,$0.00 ,,,1+,$0.00 ,,,KAND
ANE,Atlantic ANE,Blaine,MN,972-905-2513,,, 0 - 200,$7.84 , 0 - 200,$7.69 ,All Quantities,$0.00 ,,,All Quantities,$0.00 ,,,KANE
ANE,Atlantic ANE,Blaine,MN,972-905-2513,,, 201 - 400,$7.77 , 201 - 400,$7.62 ,,,,,,,,,KANE
ANE,Atlantic ANE,Blaine,MN,972-905-2513,,, 401 - 600,$7.71 , 401 - 600,$7.56 ,,,,,,,,,KANE
ANE,Atlantic ANE,Blaine,MN,972-905-2513,,, 601 - 800,$7.64 , 601 - 800,$7.49 ,,,,,,,,,KANE
ANE,Atlantic ANE,Blaine,MN,972-905-2513,,, 801 - 1000,$7.58 , 801 - 1000,$7.43 ,,,,,,,,,KANE
ANE,Atlantic ANE,Blaine,MN,972-905-2513,,,1001+,$7.51 ,1001+,$7.36 ,,,,,,,,,KANE
APA,Modern Aviation APA,Englewood,CO,303-649-9538,,,1+,$4.19 ,1+,$4.03 ,,,,,,,,,KAPA
APC,Atlantic APC,Napa,CA,707-224-0887,,, 1 - 200,$9.23 , 1 - 200,$9.07 ,,,,,,,,,KAPC
APC,Atlantic APC,Napa,CA,707-224-0887,,, 201 - 400,$8.97 , 201 - 400,$8.81 ,,,,,,,,,KAPC
APC,Atlantic APC,Napa,CA,707-224-0887,,, 401 - 600,$8.71 , 401 - 600,$8.55 ,,,,,,,,,KAPC
APC,Atlantic APC,Napa,CA,707-224-0887,,, 601 - 800,$8.44 , 601 - 800,$8.28 ,,,,,,,,,KAPC
APC,Atlantic APC,Napa,CA,707-224-0887,,, 801 - 1000,$8.18 , 801 - 1000,$8.02 ,,,,,,,,,KAPC
APC,Atlantic APC,Napa,CA,707-224-0887,,, 1001 - 2500,$7.92 , 1001 - 2500,$7.76 ,,,,,,,,,KAPC
APC,Atlantic APC,Napa,CA,707-224-0887,,, 2501 - 5000,$6.70 , 2501 - 5000,$6.54 ,,,,,,,,,KAPC
APC,Atlantic APC,Napa,CA,707-224-0887,,,5001+,$5.48 ,5001+,$5.32 ,,,,,,,,,KAPC
APC,SkyService APC,Napa,CA,541-388-0019,,, 1 - 200,$8.12 , 1 - 200,$7.99 ,,,,,,,,,KAPC
APC,SkyService APC,Napa,CA,541-388-0019,,, 201 - 400,$8.03 , 201 - 400,$7.90 ,,,,,,,,,KAPC
APC,SkyService APC,Napa,CA,541-388-0019,,, 401 - 600,$7.83 , 401 - 600,$7.70 ,,,,,,,,,KAPC
APC,SkyService APC,Napa,CA,541-388-0019,,, 601 - 800,$7.53 , 601 - 800,$7.40 ,,,,,,,,,KAPC
APC,SkyService APC,Napa,CA,541-388-0019,,, 801 - 1000,$7.18 , 801 - 1000,$7.05 ,,,,,,,,,KAPC
APC,SkyService APC,Napa,CA,541-388-0019,,, 1001 - 2500,$7.08 , 1001 - 2500,$6.95 ,,,,,,,,,KAPC
APC,SkyService APC,Napa,CA,541-388-0019,,, 2501 - 5000,$6.43 , 2501 - 5000,$6.30 ,,,,,,,,,KAPC
APC,SkyService APC,Napa,CA,541-388-0019,,,5001+,$5.28 ,5001+,$5.15 ,,,,,,,,,KAPC
APF,Naples Aviation KAPF,Naples,FL,252-633-0066,,, 1 - 199,$6.30 , 1 - 199,$6.30 ,,,,,,,,,KAPF
APF,Naples Aviation KAPF,Naples,FL,252-633-0066,,, 200 - 499,$6.16 , 200 - 499,$6.16 ,,,,,,,,,KAPF
APF,Naples Aviation KAPF,Naples,FL,252-633-0066,,,500+,$6.01 ,500+,$6.01 ,,,,,,,,,KAPF
APS,Port of South Louisiana,Reserve,LA,985-536-1999,,, 1 - 399,$4.43 , 1 - 399,$4.43 ,All Quantities,$0.00 ,,,All Quantities,$0.00 ,,,KAPS
APS,Port of South Louisiana,Reserve,LA,985-536-1999,,,400+,$4.34 ,400+,$4.34 ,,,,,,,,,KAPS
ARG,Walnut Ridge Regional,Walnut Ridge,AR,870-886-5432,,, 1 - 500,$5.22 , 1 - 500,$5.22 ,,,,,,,,,KARG
ARG,Walnut Ridge Regional,Walnut Ridge,AR,870-886-5432,,, 501 - 999,$5.14 , 501 - 999,$5.14 ,,,,,,,,,KARG
ARG,Walnut Ridge Regional,Walnut Ridge,AR,870-886-5432,,, 1000 - 1499,$5.03 , 1000 - 1499,$5.03 ,,,,,,,,,KARG
ARG,Walnut Ridge Regional,Walnut Ridge,AR,870-886-5432,,,1500+,$4.75 ,1500+,$4.75 ,,,,,,,,,KARG
ARM,City of Wharton,Wharton,TX,979-532-3210,,,All Quantities,$3.86 ,All Quantities,$3.86 ,,,,,,,,,KARM
ARV,Lakeland Aviation of Minocqua Inc,Arbor Vitae,WI,715-356-3891,,, 1 - 499,$5.26 , 1 - 499,$5.26 ,1+,$0.00 ,,,1+,$0.00 ,,,KARV
ARV,Lakeland Aviation of Minocqua Inc,Arbor Vitae,WI,715-356-3891,,, 500 - 749,$5.18 , 500 - 749,$5.18 ,,,,,,,,,KARV
ARV,Lakeland Aviation of Minocqua Inc,Arbor Vitae,WI,715-356-3891,,, 750 - 999,$5.03 , 750 - 999,$5.03 ,,,,,,,,,KARV
ARV,Lakeland Aviation of Minocqua Inc,Arbor Vitae,WI,715-356-3891,,,1000+,$4.83 ,1000+,$4.83 ,,,,,,,,,KARV
ASE,Atlantic ASE,Aspen,CO,945-348-3090,,, 0 - 200,$8.88 , 0 - 200,$8.71 ,,,,,,,,,KASE
ASE,Atlantic ASE,Aspen,CO,945-348-3090,,, 201 - 400,$8.82 , 201 - 400,$8.64 ,,,,,,,,,KASE
ASE,Atlantic ASE,Aspen,CO,945-348-3090,,, 401 - 600,$8.74 , 401 - 600,$8.56 ,,,,,,,,,KASE
ASE,Atlantic ASE,Aspen,CO,945-348-3090,,, 601 - 800,$8.67 , 601 - 800,$8.49 ,,,,,,,,,KASE
ASE,Atlantic ASE,Aspen,CO,945-348-3090,,, 801 - 1000,$8.59 , 801 - 1000,$8.41 ,,,,,,,,,KASE
ASE,Atlantic ASE,Aspen,CO,945-348-3090,,,1001+,$8.51 ,1001+,$8.33 ,,,,,,,,,KASE
ASG,Summit KASG,Springdale,AR,479-751-4462,,, 1 - 100,$5.64 , 1 - 100,$5.64 ,,,,,,,,,KASG
ASG,Summit KASG,Springdale,AR,479-751-4462,,, 101 - 300,$5.46 , 101 - 300,$5.46 ,,,,,,,,,KASG
ASG,Summit KASG,Springdale,AR,479-751-4462,,, 301 - 500,$5.36 , 301 - 500,$5.36 ,,,,,,,,,KASG
ASG,Summit KASG,Springdale,AR,479-751-4462,,,501+,$5.16 ,501+,$5.16 ,,,,,,,,,KASG
ASH,Infinity Aviation,Nashua,NH,603-598-4526,,, 1 - 499,$5.64 , 1 - 499,$5.60 ,,,,,,,,,KASH
ASH,Infinity Aviation,Nashua,NH,603-598-4526,,, 500 - 999,$5.60 , 500 - 999,$5.56 ,,,,,,,,,KASH
ASH,Infinity Aviation,Nashua,NH,603-598-4526,,,1000+,$5.55 ,1000+,$5.51 ,,,,,,,,,KASH
ASX,JFK Memorial Airport,Ashland,WI,715-682-7070,,,All Quantities,$5.73 ,All Quantities,$5.73 ,1+,$0.00 ,,,1+,$0.00 ,,,KASX
AUG,Maine Instrument Flight,Augusta,ME,207-530-2954,,,1+,$5.39 ,1+,$5.34 ,,,,,,,,,KAUG
AUS,Atlantic AUS,Austin,TX,945-348-3090,,, 0 - 200,$8.88 , 0 - 200,$8.68 ,,,,,,,,,KAUS
AUS,Atlantic AUS,Austin,TX,945-348-3090,,, 201 - 400,$8.37 , 201 - 400,$8.17 ,,,,,,,,,KAUS
AUS,Atlantic AUS,Austin,TX,945-348-3090,,, 401 - 600,$7.85 , 401 - 600,$7.65 ,,,,,,,,,KAUS
AUS,Atlantic AUS,Austin,TX,945-348-3090,,, 601 - 800,$7.33 , 601 - 800,$7.13 ,,,,,,,,,KAUS
AUS,Atlantic AUS,Austin,TX,945-348-3090,,, 801 - 1000,$6.80 , 801 - 1000,$6.60 ,,,,,,,,,KAUS
AUS,Atlantic AUS,Austin,TX,945-348-3090,,, 1001 - 2500,$6.28 , 1001 - 2500,$6.08 ,,,,,,,,,KAUS
AUS,Atlantic AUS,Austin,TX,945-348-3090,,, 2501 - 5000,$5.56 , 2501 - 5000,$5.36 ,,,,,,,,,KAUS
AUS,Atlantic AUS,Austin,TX,945-348-3090,,,5001+,$4.85 ,5001+,$4.65 ,,,,,,,,,KAUS
AVP,Ascension FBO Network - KAVP,Avoca,PA,570-457-4485,,, 0 - 300,$6.68 , 0 - 300,$6.53 ,,,,,,,,,KAVP
AVP,Ascension FBO Network - KAVP,Avoca,PA,570-457-4485,,, 301 - 400,$6.64 , 301 - 400,$6.49 ,,,,,,,,,KAVP
AVP,Ascension FBO Network - KAVP,Avoca,PA,570-457-4485,,, 401 - 500,$6.59 , 401 - 500,$6.44 ,,,,,,,,,KAVP
AVP,Ascension FBO Network - KAVP,Avoca,PA,570-457-4485,,, 501 - 600,$6.49 , 501 - 600,$6.34 ,,,,,,,,,KAVP
AVP,Ascension FBO Network - KAVP,Avoca,PA,570-457-4485,,, 601 - 700,$6.29 , 601 - 700,$6.14 ,,,,,,,,,KAVP
AVP,Ascension FBO Network - KAVP,Avoca,PA,570-457-4485,,, 701 - 800,$6.14 , 701 - 800,$5.99 ,,,,,,,,,KAVP
AVP,Ascension FBO Network - KAVP,Avoca,PA,570-457-4485,,, 801 - 1000,$5.89 , 801 - 1000,$5.74 ,,,,,,,,,KAVP
AVP,Ascension FBO Network - KAVP,Avoca,PA,570-457-4485,,,1001+,$5.64 ,1001+,$5.49 ,,,,,,,,,KAVP
BAF,Atlantic BAF,Westfield,MA,945-348-3090,,, 0 - 300,$7.66 , 0 - 300,$7.51 ,,,,,,,,,KBAF
BAF,Atlantic BAF,Westfield,MA,945-348-3090,,, 301 - 600,$7.62 , 301 - 600,$7.47 ,,,,,,,,,KBAF
BAF,Atlantic BAF,Westfield,MA,945-348-3090,,, 601 - 900,$7.55 , 601 - 900,$7.40 ,,,,,,,,,KBAF
BAF,Atlantic BAF,Westfield,MA,945-348-3090,,, 901 - 1200,$7.49 , 901 - 1200,$7.34 ,,,,,,,,,KBAF
BAF,Atlantic BAF,Westfield,MA,945-348-3090,,, 1201 - 1500,$7.42 , 1201 - 1500,$7.27 ,,,,,,,,,KBAF
BAF,Atlantic BAF,Westfield,MA,945-348-3090,,,1501+,$7.36 ,1501+,$7.21 ,,,,,,,,,KBAF
BAK,Jet Access BAK,Columbus,IN,812-372-1819,,, 1 - 499,$5.34 , 1 - 499,$5.34 ,All Quantities,$0.00 ,,,All Quantities,$0.00 ,,,KBAK
BAK,Jet Access BAK,Columbus,IN,812-372-1819,,, 500 - 999,$5.25 , 500 - 999,$5.25 ,,,,,,,,,KBAK
BAK,Jet Access BAK,Columbus,IN,812-372-1819,,, 1000 - 1499,$5.10 , 1000 - 1499,$5.10 ,,,,,,,,,KBAK
BAK,Jet Access BAK,Columbus,IN,812-372-1819,,,1500+,$4.90 ,1500+,$4.90 ,,,,,,,,,KBAK
BCT,Atlantic BCT,Boca Raton,FL,945-348-3090,,, 0 - 200,$7.72 , 0 - 200,$7.57 ,,,,,,,,,KBCT
BCT,Atlantic BCT,Boca Raton,FL,945-348-3090,,, 201 - 400,$7.30 , 201 - 400,$7.15 ,,,,,,,,,KBCT
BCT,Atlantic BCT,Boca Raton,FL,945-348-3090,,, 401 - 600,$6.86 , 401 - 600,$6.71 ,,,,,,,,,KBCT
BCT,Atlantic BCT,Boca Raton,FL,945-348-3090,,, 601 - 800,$6.42 , 601 - 800,$6.27 ,,,,,,,,,KBCT
BCT,Atlantic BCT,Boca Raton,FL,945-348-3090,,, 801 - 1000,$5.98 , 801 - 1000,$5.83 ,,,,,,,,,KBCT
BCT,Atlantic BCT,Boca Raton,FL,945-348-3090,,, 1001 - 2500,$5.54 , 1001 - 2500,$5.39 ,,,,,,,,,KBCT
BCT,Atlantic BCT,Boca Raton,FL,945-348-3090,,,2501+,$5.08 ,2501+,$4.93 ,,,,,,,,,KBCT
BDA,Cayman Dispatch - Bermuda,St George,,345-949-8960,,,All Quantities,$6.62 ,All Quantities,$6.62 ,,,,,,,,,TXKF
BDL,Atlantic BDL,Windsor Locks,CT,945-348-3090,,, 0 - 200,$7.76 , 0 - 200,$7.61 ,,,,,,,,,KBDL
BDL,Atlantic BDL,Windsor Locks,CT,945-348-3090,,, 201 - 400,$7.56 , 201 - 400,$7.41 ,,,,,,,,,KBDL
BDL,Atlantic BDL,Windsor Locks,CT,945-348-3090,,, 401 - 600,$7.36 , 401 - 600,$7.21 ,,,,,,,,,KBDL
BDL,Atlantic BDL,Windsor Locks,CT,945-348-3090,,, 601 - 800,$7.15 , 601 - 800,$7.00 ,,,,,,,,,KBDL
BDL,Atlantic BDL,Windsor Locks,CT,945-348-3090,,, 801 - 1000,$6.94 , 801 - 1000,$6.79 ,,,,,,,,,KBDL
BDL,Atlantic BDL,Windsor Locks,CT,945-348-3090,,, 1001 - 2500,$6.73 , 1001 - 2500,$6.58 ,,,,,,,,,KBDL
BDL,Atlantic BDL,Windsor Locks,CT,945-348-3090,,, 2501 - 5000,$6.06 , 2501 - 5000,$5.91 ,,,,,,,,,KBDL
BDL,Atlantic BDL,Windsor Locks,CT,945-348-3090,,, 5001 - 7500,$5.40 , 5001 - 7500,$5.25 ,,,,,,,,,KBDL
BDL,Atlantic BDL,Windsor Locks,CT,945-348-3090,,,7501+,$4.73 ,7501+,$4.58 ,,,,,,,,,KBDL
BDN,SkyService BDN,Bend,OR,541-388-0019,,, 1 - 399,$6.39 , 1 - 399,$6.29 ,,,,,,,,,KBDN
BDN,SkyService BDN,Bend,OR,541-388-0019,,, 400 - 999,$6.05 , 400 - 999,$5.95 ,,,,,,,,,KBDN
BDN,SkyService BDN,Bend,OR,541-388-0019,,,1000+,$5.85 ,1000+,$5.75 ,,,,,,,,,KBDN
BDR,Three Wing Aviation,Stratford,CT,203-375-5795,,, 1 - 250,$5.58 , 1 - 250,$5.43 ,,,,,,,,,KBDR
BDR,Three Wing Aviation,Stratford,CT,203-375-5795,,, 251 - 500,$5.39 , 251 - 500,$5.24 ,,,,,,,,,KBDR
BDR,Three Wing Aviation,Stratford,CT,203-375-5795,,, 501 - 999,$5.29 , 501 - 999,$5.14 ,,,,,,,,,KBDR
BDR,Three Wing Aviation,Stratford,CT,203-375-5795,,, 1000 - 1999,$5.09 , 1000 - 1999,$4.94 ,,,,,,,,,KBDR
BDR,Three Wing Aviation,Stratford,CT,203-375-5795,,,2000+,$4.99 ,2000+,$4.84 ,,,,,,,,,KBDR
BED,Atlantic BED,Concord,MA,945-348-3090,,, 0 - 300,$7.91 , 0 - 300,$7.76 ,,,,,,,,,KBED
BED,Atlantic BED,Concord,MA,945-348-3090,,, 301 - 600,$7.50 , 301 - 600,$7.35 ,,,,,,,,,KBED
BED,Atlantic BED,Concord,MA,945-348-3090,,, 601 - 900,$7.08 , 601 - 900,$6.93 ,,,,,,,,,KBED
BED,Atlantic BED,Concord,MA,945-348-3090,,, 901 - 1200,$6.65 , 901 - 1200,$6.50 ,,,,,,,,,KBED
BED,Atlantic BED,Concord,MA,945-348-3090,,, 1201 - 1500,$6.22 , 1201 - 1500,$6.07 ,,,,,,,,,KBED
BED,Atlantic BED,Concord,MA,945-348-3090,,, 1501 - 2500,$5.79 , 1501 - 2500,$5.64 ,,,,,,,,,KBED
BED,Atlantic BED,Concord,MA,945-348-3090,,, 2501 - 5000,$5.35 , 2501 - 5000,$5.20 ,,,,,,,,,KBED
BED,Atlantic BED,Concord,MA,945-348-3090,,, 5001 - 7500,$4.92 , 5001 - 7500,$4.77 ,,,,,,,,,KBED
BED,Atlantic BED,Concord,MA,945-348-3090,,,7501+,$4.48 ,7501+,$4.33 ,,,,,,,,,KBED
