AIRPORT CODE,FBO,CITY,STATE,PHONE NUMBER,AVGAS QUANTITY,AVGAS PRICE PER UNIT,JET A WITH ADD QUANTITY,JET A WITH ADD PRICE PER UNIT,JET A QUANTITY,JET A PRICE PER UNIT,CN JET A QUANTITY,CN JET A PRICE PER UNIT,CN JET A WITH ADD QUANTITY,CN JET A WITH ADD PRICE PER UNIT,SAF QUANTITY,SAF PRICE PER UNIT,SAF WITH ADD QUANTITY,SAF WITH ADD PRICE PER UNIT,ICAO
06A,City of Tuskegee FBO,Tuskegee,AL,334-720-0547,,,1+,$5.23 ,1+,$5.23 ,All Quantities,$0.00 ,,,All Quantities,$0.00 ,,,06A
07FA,Ocean Reef Club Inc,Key Largo,FL,305-367-2611,,,1+,$5.16 ,1+,$5.16 ,,,,,,,,,07FA
0A9,Elizabethton Municipal Airport,Elizabethton,TN,423-543-2801,,,1+,$4.84 ,1+,$4.84 ,All Quantities,$0.00 ,,,All Quantities,$0.00 ,,,0A9
0M4,Benton County Airport,Camden,TN,731-584-5343,,,1+,$3.58 ,1+,$3.58 ,,,,,,,,,K0M4
11R,Brenham Aviation,Brenham,TX,979-337-7245,,, 0 - 249,$4.73 , 0 - 249,$4.73 ,All Quantities,$0.00 ,,,All Quantities,$0.00 ,,,K11R
11R,Brenham Aviation,Brenham,TX,979-337-7245,,, 250 - 499,$4.64 , 250 - 499,$4.64 ,,,,,,,,,K11R
11R,Brenham Aviation,Brenham,TX,979-337-7245,,, 500 - 999,$4.54 , 500 - 999,$4.54 ,,,,,,,,,K11R
11R,Brenham Aviation,Brenham,TX,979-337-7245,,,1000+,$4.44 ,1000+,$4.44 ,,,,,,,,,K11R
18A,Franklin Hart County,Canon,GA,706-245-1002,,,All Quantities,$4.10 ,All Quantities,$4.10 ,1+,$0.00 ,,,1+,$0.00 ,,,18A
1A5,Macon Air LLC,Franklin,NC,828-524-5529,,,All Quantities,$5.17 ,All Quantities,$5.17 ,All Quantities,$0.00 ,,,All Quantities,$0.00 ,,,1A5
1G0,Wood County Regional,Bowling Green,OH,419-354-2908,,,All Quantities,$3.65 ,All Quantities,$3.65 ,All Quantities,$0.00 ,,,All Quantities,$0.00 ,,,1G0
1M5,Portland Airport,Portland,TN,615-323-7500,,,1+,$4.21 ,1+,$4.21 ,,,,,,,,,1M5
1R8,Baldwin Aviation Inc,Bay Minette,AL,251-494-0502,,,All Quantities,$5.16 ,All Quantities,$5.16 ,1+,$0.00 ,,,1+,$0.00 ,,,1R8
21D,Lake Elmo Aero LLC,Lake Elmo,MN,651-777-1399,,,1+,$4.78 ,1+,$4.78 ,1+,$0.00 ,,,1+,$0.00 ,,,K21D
27K,Georgetown Scott County,Georgetown,KY,502-863-6320,,,All Quantities,$4.50 ,All Quantities,$4.50 ,All Quantities,$0.00 ,,,All Quantities,$0.00 ,,,27K
3J1,SkyBlue Aviation,Ridgeland,SC,843-547-8383,,, 1 - 199,$6.10 , 1 - 199,$6.10 ,,,,,,,,,3J1
3J1,SkyBlue Aviation,Ridgeland,SC,843-547-8383,,, 200 - 399,$5.75 , 200 - 399,$5.75 ,,,,,,,,,3J1
3J1,SkyBlue Aviation,Ridgeland,SC,843-547-8383,,,400+,$5.50 ,400+,$5.50 ,,,,,,,,,3J1
42J,Keystone Heights Airport,Starke,FL,352-473-0031,,,1+,$4.81 ,1+,$4.81 ,,,,,,,,,K42J
4N1,Greenwood Lake AP Management LLC,West Milford,NJ,973-728-7721,,,1+,$7.71 ,1+,$7.71 ,,,,,,,,,K4N1
6A4,Doe Mountain Aviation Services LLC,Mountain City,TN,423-727-1223,,,1+,$4.93 ,1+,$4.93 ,1+,$0.00 ,,,1+,$0.00 ,,,6A4
