Base,Tail Number,Min Quantity,Max Quantity,Total
ACY,"",1.0,300.0,7.25659
ACY,"",301.0,1200.0,6.94659
ACY,"",1201.0,999999.0,6.43659
AMA,"",1.0,300.0,4.53382
AMA,"",301.0,1200.0,4.50218
AMA,"",1201.0,999999.0,4.42308
ANC,"",1.0,500.0,4.87749
ANC,"",501.0,1200.0,4.82749
ANC,"",1201.0,999999.0,4.77749
AP3,"",1.0,300.0,3.83289
AP3,"",301.0,1200.0,3.82298
AP3,"",1201.0,999999.0,3.81283
APA,"",1.0,300.0,3.83289
APA,"",301.0,1200.0,3.82298
APA,"",1201.0,999999.0,3.81283
ATL,"",1.0,300.0,8.75335
ATL,"",301.0,1200.0,8.61019
ATL,"",1201.0,999999.0,8.49319
AUS,"",1.0,300.0,4.10855
AUS,"",301.0,1200.0,4.07878
AUS,"",1201.0,999999.0,4.03088
AVL,"",1.0,300.0,6.4936
AVL,"",301.0,1200.0,6.42933
AVL,"",1201.0,999999.0,6.37913
BCT,"",1.0,500.0,4.45507
BCT,"",501.0,1200.0,4.38797
BCT,"",1201.0,999999.0,4.32927
BDL,"",1.0,300.0,5.32939
BDL,"",301.0,1200.0,5.28279
BDL,"",1201.0,999999.0,5.21099
BED,"",1.0,500.0,4.44155
BED,"",501.0,1200.0,4.40288
BED,"",1201.0,999999.0,4.35233
BFI,"",1.0,500.0,4.94823
BFI,"",501.0,1200.0,4.88402
BFI,"",1201.0,999999.0,4.7168
BFM,"",1.0,300.0,7.16139
BFM,"",301.0,1200.0,6.79615
BFM,"",1201.0,999999.0,6.74732
BJC,"",1.0,999999.0,5.29766
BKL,"",1.0,300.0,6.63827
BKL,"",301.0,1200.0,6.55727
BKL,"",1201.0,999999.0,6.45683
BNA,"",1.0,300.0,4.35189
BNA,"",301.0,1200.0,4.29167
BNA,"",1201.0,999999.0,4.26112
BOS,"",1.0,500.0,8.61871
BOS,"",501.0,1200.0,8.56871
BOS,"",1201.0,999999.0,8.46071
BTR,"",1.0,300.0,4.58754
BTR,"",301.0,1200.0,4.41114
BTR,"",1201.0,999999.0,4.27731
BU1,"",1.0,500.0,6.18687
BU1,"",501.0,1200.0,5.87487
BU1,"",1201.0,999999.0,5.61487
BWI,"",1.0,300.0,7.37978
BWI,"",301.0,1200.0,7.32555
BWI,"",1201.0,999999.0,7.21491
BZN,"",1.0,500.0,4.60474
BZN,"",501.0,1200.0,4.57379
BZN,"",1201.0,999999.0,4.49739
CHO,"",1.0,300.0,6.57329
CHO,"",301.0,1200.0,6.52329
CHO,"",1201.0,999999.0,6.30529
CHS,"",1.0,300.0,4.57821
CHS,"",301.0,1200.0,4.53299
CHS,"",1201.0,999999.0,4.4312
CID,"",1.0,300.0,6.23449
CID,"",301.0,1200.0,5.68866
CID,"",1201.0,999999.0,5.24657
CMH,"",1.0,300.0,5.00385
CMH,"",301.0,1200.0,4.89743
CMH,"",1201.0,999999.0,4.84905
DA5,"",1.0,500.0,3.84664
DA5,"",501.0,1200.0,3.83263
DA5,"",1201.0,999999.0,3.72532
DAL2,"",1.0,500.0,3.77516
DAL2,"",501.0,1200.0,3.74478
DAL2,"",1201.0,999999.0,3.70176
DCA,"",1.0,300.0,8.15986
DCA,"",301.0,1200.0,7.51544
DCA,"",1201.0,999999.0,7.45985
DEN,"",1.0,500.0,8.13016
DEN,"",501.0,1200.0,8.02626
DEN,"",1201.0,999999.0,7.92236
DSM,"",1.0,300.0,5.50859
DSM,"",301.0,1200.0,5.41159
DSM,"",1201.0,999999.0,5.36159
DTW,"",1.0,300.0,7.48546
DTW,"",301.0,1200.0,7.43246
DTW,"",1201.0,999999.0,5.74494
EFD,"",1.0,300.0,5.10159
EFD,"",301.0,1200.0,4.79586
EFD,"",1201.0,999999.0,4.62692
EGE,"",1.0,999999.0,8.96788
EWR,"",1.0,500.0,8.05719
EWR,"",501.0,1200.0,7.96819
EWR,"",1201.0,999999.0,7.69719
EYW,"",1.0,300.0,7.09469
EYW,"",301.0,1200.0,7.04827
EYW,"",1201.0,999999.0,7.00195
F45,"",1.0,300.0,5.50239
F45,"",301.0,1200.0,5.45529
F45,"",1201.0,999999.0,5.40819
FAT,"",1.0,300.0,5.39804
FAT,"",301.0,1200.0,5.34387
FAT,"",1201.0,999999.0,5.28969
FAY,"",1.0,300.0,5.81352
FAY,"",301.0,1200.0,5.68923
FAY,"",1201.0,999999.0,5.6361
FDK,"",1.0,300.0,5.45209
FDK,"",301.0,1200.0,5.40412
FDK,"",1201.0,999999.0,5.35614
FLL,"",1.0,500.0,4.00077
FLL,"",501.0,1200.0,3.96283
FLL,"",1201.0,999999.0,3.82476
FOK,"",1.0,500.0,6.06441
FOK,"",501.0,1200.0,5.96003
FOK,"",1201.0,999999.0,5.80347
FSD,"",1.0,300.0,4.07268
FSD,"",301.0,1200.0,4.0028
FSD,"",1201.0,999999.0,3.93462
FSM,"",1.0,300.0,5.45396
FSM,"",301.0,1200.0,5.18021
FSM,"",1201.0,999999.0,4.90646
FTY,"",1.0,300.0,4.68744
FTY,"",301.0,1200.0,4.64177
FTY,"",1201.0,999999.0,4.59612
FXE,"",1.0,500.0,3.98998
FXE,"",501.0,1200.0,3.94003
FXE,"",1201.0,999999.0,3.7582
GEG,"",1.0,300.0,6.03364
GEG,"",301.0,1200.0,5.83301
GEG,"",1201.0,999999.0,5.78285
GRR,"",1.0,300.0,4.96431
GRR,"",301.0,1200.0,4.67517
GRR,"",1201.0,999999.0,4.03162
GSO,"",1.0,300.0,5.06022
GSO,"",301.0,1200.0,5.0117
GSO,"",1201.0,999999.0,4.68658
HNL,"",1.0,1999.0,4.18256
HNL,"",2000.0,2999.0,4.13866
HNL,"",3000.0,3999.0,4.09478
HNL,"",4000.0,4999.0,4.05088
HNL,"",5000.0,999999.0,4.05088
HOU,"",1.0,500.0,3.5858
HOU,"",501.0,1200.0,3.55228
HOU,"",1201.0,999999.0,3.50697
HPN,"",1.0,500.0,4.67536
HPN,"",501.0,1200.0,4.5419
HPN,"",1201.0,999999.0,4.39731
HPN2,"",1.0,500.0,4.63882
HPN2,"",501.0,1200.0,4.50536
HPN2,"",1201.0,999999.0,4.36077
HSV,"",1.0,300.0,6.36589
HSV,"",301.0,1200.0,6.28789
HSV,"",1201.0,999999.0,6.23789
HWD,"",1.0,500.0,4.36024
HWD,"",501.0,1200.0,4.34219
HWD,"",1201.0,999999.0,4.32415
HXD,"",1.0,300.0,7.65797
HXD,"",301.0,1200.0,7.53256
HXD,"",1201.0,999999.0,7.4125
IAD,"",1.0,500.0,5.50139
IAD,"",501.0,1200.0,5.45733
IAD,"",1201.0,999999.0,5.39474
IAH,"",1.0,500.0,4.00258
IAH,"",501.0,1200.0,3.98552
IAH,"",1201.0,999999.0,3.92678
ICT,"",1.0,300.0,3.98587
ICT,"",301.0,1200.0,3.86224
ICT,"",1201.0,999999.0,3.80849
IND,"",1.0,300.0,5.02519
IND,"",301.0,1200.0,4.97519
IND,"",1201.0,999999.0,4.92519
INT,"",1.0,300.0,6.36618
INT,"",301.0,1200.0,6.22387
INT,"",1201.0,999999.0,5.76377
ISM,"",1.0,300.0,4.58439
ISM,"",301.0,1200.0,4.48239
ISM,"",1201.0,999999.0,4.24439
ITO,"",1.0,1999.0,5.03245
ITO,"",2000.0,2999.0,4.98313
ITO,"",3000.0,3999.0,4.93382
ITO,"",4000.0,4999.0,4.8845
ITO,"",5000.0,999999.0,4.8845
IXD,"",1.0,300.0,4.43484
IXD,"",301.0,1200.0,4.36459
IXD,"",1201.0,999999.0,4.31294
JAX,"",1.0,300.0,4.69309
JAX,"",301.0,1200.0,4.65346
JAX,"",1201.0,999999.0,4.61383
KOA,"",1.0,1999.0,5.01695
KOA,"",2000.0,2999.0,4.77318
KOA,"",3000.0,3999.0,4.7295
KOA,"",4000.0,4999.0,4.68581
KOA,"",5000.0,999999.0,4.68581
LAS,"",1.0,500.0,5.56634
LAS,"",501.0,1200.0,5.49699
LAS,"",1201.0,999999.0,5.402
LAX,"",1.0,500.0,5.45871
LAX,"",501.0,1200.0,5.28562
LAX,"",1201.0,999999.0,5.09612
LEX,"",1.0,300.0,5.77582
LEX,"",301.0,1200.0,5.72282
LEX,"",1201.0,999999.0,5.35182
LFT,"",1.0,300.0,6.07219
LFT,"",301.0,1200.0,5.60494
LFT,"",1201.0,999999.0,5.55244
LGB,"",1.0,300.0,4.88146
LGB,"",301.0,1200.0,4.8692
LGB,"",1201.0,999999.0,4.82778
LIH,"",1.0,1999.0,4.60369
LIH,"",2000.0,2999.0,4.58829
LIH,"",3000.0,3999.0,4.57289
LIH,"",4000.0,4999.0,4.55748
LIH,"",5000.0,999999.0,4.55748
LIT,"",1.0,300.0,4.86602
LIT,"",301.0,1200.0,4.71656
LIT,"",1201.0,999999.0,4.56709
LRD,"",1.0,300.0,4.71276
LRD,"",301.0,1200.0,4.66974
LRD,"",1201.0,999999.0,4.62673
LUK,"",1.0,300.0,4.80636
LUK,"",301.0,1200.0,4.6425
LUK,"",1201.0,999999.0,4.07224
MAF,"",1.0,300.0,6.03679
MAF,"",301.0,1200.0,5.95653
MAF,"",1201.0,999999.0,5.55232
MCI,"",1.0,300.0,6.10963
MCI,"",301.0,1200.0,5.95932
MCI,"",1201.0,999999.0,5.80901
MCO,"",1.0,500.0,4.27635
MCO,"",501.0,1200.0,4.26308
MCO,"",1201.0,999999.0,4.24982
MDW,"",1.0,500.0,5.59058
MDW,"",501.0,1200.0,5.47332
MDW,"",1201.0,999999.0,5.4289
MEM,"",1.0,300.0,4.81226
MEM,"",301.0,1200.0,4.7597
MEM,"",1201.0,999999.0,4.69057
MHT,"",1.0,300.0,6.28019
MHT,"",301.0,1200.0,6.18614
MHT,"",1201.0,999999.0,6.08724
MIA,"",1.0,500.0,7.55023
MIA,"",501.0,1200.0,7.30213
MIA,"",1201.0,999999.0,7.02595
MKC,"",1.0,300.0,4.65788
MKC,"",301.0,1200.0,4.40184
MKC,"",1201.0,999999.0,3.62898
MKE,"",1.0,300.0,4.44689
MKE,"",301.0,1200.0,4.13689
MKE,"",1201.0,999999.0,4.01689
MMU,"",1.0,500.0,5.11463
MMU,"",501.0,1200.0,4.90425
MMU,"",1201.0,999999.0,4.60497
MOB,"",1.0,300.0,6.84699
MOB,"",301.0,1200.0,6.5146
MOB,"",1201.0,999999.0,6.46586
MQS,"",1.0,300.0,6.77819
MQS,"",301.0,1200.0,6.5883
MQS,"",1201.0,999999.0,4.93676
MSP,"",1.0,500.0,8.23549
MSP,"",501.0,1200.0,7.97049
MSP,"",1201.0,999999.0,7.84349
MSY,"",1.0,300.0,4.94759
MSY,"",301.0,1200.0,4.77929
MSY,"",1201.0,999999.0,4.60106
NEW,"",1.0,300.0,4.99693
NEW,"",301.0,1200.0,4.75328
NEW,"",1201.0,999999.0,4.46764
OAK,"",1.0,300.0,5.20723
OAK,"",301.0,1200.0,4.83954
OAK,"",1201.0,999999.0,4.78416
OGG,"",1.0,1999.0,4.93506
OGG,"",2000.0,2999.0,4.77992
OGG,"",3000.0,3999.0,4.73776
OGG,"",4000.0,4999.0,4.69559
OGG,"",5000.0,999999.0,4.69559
OMA,"",1.0,300.0,4.4148
OMA,"",301.0,1200.0,4.37081
OMA,"",1201.0,999999.0,4.32681
OPF,"",1.0,500.0,3.69512
OPF,"",501.0,1200.0,3.68439
OPF,"",1201.0,999999.0,3.67713
ORD,"",1.0,300.0,8.28963
ORD,"",301.0,1200.0,8.21477
ORD,"",1201.0,999999.0,7.771
ORF,"",1.0,300.0,6.20999
ORF,"",301.0,1200.0,6.12399
ORF,"",1201.0,999999.0,5.23999
PBI,"",1.0,500.0,4.2943
PBI,"",501.0,1200.0,4.26714
PBI,"",1201.0,999999.0,4.22226
PBI4,"",1.0,500.0,4.2943
PBI4,"",501.0,1200.0,4.26714
PBI4,"",1201.0,999999.0,4.22226
PDK,"",1.0,300.0,4.69586
PDK,"",301.0,1200.0,4.62097
PDK,"",1201.0,999999.0,4.57246
PHK,"",1.0,300.0,6.47309
PHK,"",301.0,1200.0,6.42309
PHK,"",1201.0,999999.0,6.37309
PIE,"",1.0,300.0,4.62579
PIE,"",301.0,1200.0,4.57989
PIE,"",1201.0,999999.0,4.53399
PSP,"",1.0,500.0,5.30806
PSP,"",501.0,1200.0,5.29195
PSP,"",1201.0,999999.0,5.21756
