Base,Tail Number,Min Quantity,Max Quantity,Total
PVU,"",1.0,300.0,4.97618
PVU,"",301.0,1200.0,4.86944
PVU,"",1201.0,999999.0,4.79828
PWK,"",1.0,300.0,5.32682
PWK,"",301.0,1200.0,5.28152
PWK,"",1201.0,999999.0,5.23356
RDU,"",1.0,300.0,4.94056
RDU,"",301.0,1200.0,4.7359
RDU,"",1201.0,999999.0,4.45181
ROA,"",1.0,300.0,6.26253
ROA,"",301.0,1200.0,6.21253
ROA,"",1201.0,999999.0,5.95553
RST,"",1.0,300.0,6.41999
RST,"",301.0,1200.0,6.36999
RST,"",1201.0,999999.0,6.29899
SAF,"",1.0,300.0,4.89145
SAF,"",301.0,1200.0,4.7047
SAF,"",1201.0,999999.0,4.62917
SAN,"",1.0,500.0,9.68815
SAN,"",501.0,1200.0,9.59458
SAN,"",1201.0,999999.0,9.35545
SAT2,"",1.0,300.0,4.19949
SAT2,"",301.0,1200.0,4.09849
SAT2,"",1201.0,999999.0,3.96449
SAV,"",1.0,300.0,4.6663
SAV,"",301.0,1200.0,4.61206
SAV,"",1201.0,999999.0,4.56823
SBA,"",1.0,300.0,5.72274
SBA,"",301.0,1200.0,5.67777
SBA,"",1201.0,999999.0,5.45883
SBN,"",1.0,300.0,4.75215
SBN,"",301.0,1200.0,4.70514
SBN,"",1201.0,999999.0,4.56409
SDL,"",1.0,500.0,4.28901
SDL,"",501.0,1200.0,4.28008
SDL,"",1201.0,999999.0,4.26487
SEA,"",1.0,500.0,6.66309
SEA,"",501.0,1200.0,6.60789
SEA,"",1201.0,999999.0,6.55269
SFO,"",1.0,500.0,7.2737
SFO,"",501.0,1200.0,7.2737
SFO,"",1201.0,999999.0,7.2737
SHV,"",1.0,300.0,5.59659
SHV,"",301.0,1200.0,5.44224
SHV,"",1201.0,999999.0,4.97919
SJC,"",1.0,500.0,5.98593
SJC,"",501.0,1200.0,5.93621
SJC,"",1201.0,999999.0,5.88649
SLC,"",1.0,500.0,5.66729
SLC,"",501.0,1200.0,5.65901
SLC,"",1201.0,999999.0,5.59001
STL,"",1.0,500.0,6.10275
STL,"",501.0,1200.0,5.67722
STL,"",1201.0,999999.0,5.62775
STP,"",1.0,300.0,4.57337
STP,"",301.0,1200.0,4.55755
STP,"",1201.0,999999.0,4.34555
SU2,"",1.0,500.0,4.0851
SU2,"",501.0,1200.0,4.07015
SU2,"",1201.0,999999.0,3.90564
SWF,"",1.0,300.0,6.5453
SWF,"",301.0,1200.0,6.44426
SWF,"",1201.0,999999.0,6.19166
TEB,"",1.0,500.0,5.08779
TEB,"",501.0,1200.0,4.99292
TEB,"",1201.0,999999.0,4.89805
TEB2,"",1.0,1200.0,5.08179
TEB2,"",1201.0,999999.0,4.89205
TEB4,"",1.0,500.0,5.08779
TEB4,"",501.0,1200.0,4.99292
TEB4,"",1201.0,999999.0,4.89805
TEB4,N125TH,1.0,500.0,5.08779
TEB4,N125TH,501.0,1200.0,4.99292
TEB4,N125TH,1201.0,999999.0,4.89805
TMB,"",1.0,500.0,4.40893
TMB,"",501.0,1200.0,4.33568
TMB,"",1201.0,999999.0,4.23027
TPA,"",1.0,300.0,4.22541
TPA,"",301.0,1200.0,4.21484
TPA,"",1201.0,999999.0,4.20429
TTN,"",1.0,500.0,5.43699
TTN,"",501.0,1200.0,5.37899
TTN,"",1201.0,999999.0,5.14499
TXK,"",1.0,300.0,5.69087
TXK,"",301.0,1200.0,5.5255
TXK,"",1201.0,999999.0,4.91912
TYS,"",1.0,300.0,5.71925
TYS,"",301.0,1200.0,5.30225
TYS,"",1201.0,999999.0,5.14587
UGN,"",1.0,500.0,5.82177
UGN,"",501.0,1200.0,5.7514
UGN,"",1201.0,999999.0,5.69187
VNY,"",1.0,500.0,4.54698
VNY,"",501.0,1200.0,4.46743
VNY,"",1201.0,999999.0,4.43743
